table,county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
105A2,Tainan City,201,147,94,69,87,168,369,1678,1455,1130,1137,1162,1274,971,1003,1064,1255,1748,1393,1012,799,708,600,339,19863
105A2,Kaohsiung City,706,370,256,222,226,379,1076,4103,3817,2912,2892,3002,3040,2469,2598,2819,3569,4251,3648,2742,1996,1871,1741,1106,51811
105A2,Pingtung County,137,77,78,52,81,142,296,871,822,794,825,856,783,622,665,814,881,1055,858,649,474,479,351,249,12911
105A2,Yilan County,58,35,25,16,28,65,143,551,468,400,381,431,416,385,326,374,421,553,414,289,226,205,131,89,6430
105A2,Hualien County,35,17,18,19,15,38,94,353,337,292,316,351,327,330,312,303,343,416,318,237,178,157,106,75,4987
105A2,Taitung County,34,21,18,17,19,47,66,201,222,196,200,229,178,192,179,215,241,264,210,178,101,113,70,47,3258
105A2,Penghu County,12,2,9,5,6,6,20,78,58,62,61,66,61,58,62,58,61,72,57,50,33,32,20,10,959
105A2,Kinmen County,4,3,3,4,2,1,6,53,41,40,36,44,53,42,31,46,51,81,56,48,27,15,13,12,712
105A2,Lienchiang County,0,0,0,0,0,0,0,1,5,0,1,2,1,2,2,0,3,4,0,4,0,0,0,0,25
106A1,Taiwan,38,22,27,29,32,63,54,87,74,65,66,57,51,42,73,59,74,60,83,54,42,47,40,46,1285
106A1,Taipei City,1,1,2,1,1,3,6,0,3,0,2,5,2,0,2,1,0,1,2,3,2,2,1,1,42
106A1,New Taipei City,2,0,4,1,3,5,2,3,3,8,5,3,4,1,7,0,1,0,6,0,1,3,1,6,69
106A1,Keelung City,0,1,0,2,0,0,1,1,1,0,1,1,1,0,0,2,2,0,1,1,0,2,2,0,19
106A1,Taoyuan City,5,2,3,2,4,5,3,6,9,5,5,3,6,4,9,8,8,5,7,3,2,5,5,8,122
106A1,Hsinchu City,1,0,0,2,1,2,0,3,1,2,3,2,0,1,1,0,3,1,3,0,2,0,1,0,29
106A1,Hsinchu County,2,3,0,2,1,2,5,4,2,2,3,0,2,2,4,2,5,1,6,1,2,3,1,2,57
106A1,Miaoli County,1,1,1,0,2,3,1,7,0,4,2,0,1,3,0,1,2,3,2,1,2,1,1,0,39
106A1,Taichung City,0,1,1,2,4,4,3,2,6,5,0,1,4,4,2,4,3,2,3,4,0,3,2,3,63
106A1,Changhua County,1,1,0,0,3,5,4,7,3,6,5,0,4,5,3,3,6,2,6,5,3,3,1,0,76
106A1,Nantou County,0,2,2,1,0,1,3,2,2,2,3,3,1,0,3,7,4,4,4,3,4,2,4,1,58
106A1,Yunlin County,2,0,1,2,2,6,2,8,6,8,8,3,3,3,4,1,4,3,6,8,6,1,3,2,92
106A1,Chiayi City,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,7
106A1,Chiayi County,2,0,0,1,2,2,2,6,3,5,4,4,4,1,5,4,3,3,7,4,1,1,0,3,67
106A1,Tainan City,5,3,4,4,4,8,10,11,9,5,10,12,4,5,12,10,14,10,9,4,4,6,5,8,176
106A1,Kaohsiung City,6,2,5,4,2,10,4,9,7,5,8,8,6,0,12,5,9,11,5,4,1,4,6,4,137
106A1,Pingtung County,3,3,0,2,3,4,3,6,7,3,1,5,3,3,3,6,4,2,9,7,7,5,2,6,97
106A1,Yilan County,1,0,0,0,0,1,0,5,1,1,2,1,4,3,1,1,2,2,2,2,1,0,3,0,33
106A1,Hualien County,2,2,0,1,0,0,3,1,7,3,2,2,2,4,1,2,2,2,3,1,1,3,0,2,46
106A1,Taitung County,2,0,3,0,0,2,1,4,2,0,1,3,0,2,3,0,2,4,0,2,3,2,1,0,37
106A1,Penghu County,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,2,0,0,1,0,0,10
106A1,Kinmen County,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,9
106A1,Lienchiang County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106A2,Taiwan,3464,2016,1332,1084,1274,2398,6222,23826,22599,17981,16860,17514,17138,14275,14725,16265,18836,24891,20348,14941,11576,10868,9177,5779,295389
106A2,Taipei City,352,214,150,110,90,175,378,1031,1806,1470,1272,1195,1138,1090,1114,1236,1275,1492,1548,1141,882,1010,1006,616,21791
106A2,New Taipei City,554,280,190,150,150,283,648,2250,2715,1998,1784,1773,1858,1634,1531,1695,1924,2328,2267,1715,1275,1388,1249,850,32489
106A2,Keelung City,28,25,9,13,17,26,71,143,152,135,151,142,118,130,121,124,141,184,162,134,119,105,102,71,2423
106A2,Taoyuan City,399,233,173,116,163,334,774,2910,2423,1713,1715,1648,1623,1415,1417,1555,1861,2617,2157,1605,1325,1202,1032,658,31068
106A2,Hsinchu City,78,37,28,22,30,49,123,446,592,418,381,389,396,332,325,319,413,520,437,393,248,246,210,109,6541
106A2,Hsinchu County,73,51,25,25,32,59,255,826,821,545,458,493,458,383,430,422,508,793,660,497,361,322,232,150,8879
106A2,Miaoli County,47,41,23,27,38,51,158,619,467,394,382,387,356,306,268,341,422,564,453,344,278,231,149,84,6430
106A2,Taichung City,527,282,179,126,166,272,859,4043,3663,2825,2547,2703,2756,2134,2397,2499,2846,4279,3528,2374,1998,1745,1505,902,47155
106A2,Changhua County,151,69,56,52,60,165,406,1688,1219,1014,1038,1120,1015,792,869,978,1183,1616,1128,788,612,544,390,246,17199
106A2,Nantou County,52,39,22,19,24,51,131,521,422,513,435,436,413,322,379,420,494,557,395,293,243,168,112,91,6552
106A2,Yunlin County,111,49,38,30,36,99,239,776,602,550,590,569,548,427,457,605,574,830,611,395,324,275,192,142,9069
106A2,Chiayi City,41,28,14,24,19,17,48,195,169,163,157,183,178,169,173,149,235,234,194,153,137,141,101,64,2986
106A2,Chiayi County,52,31,15,28,29,58,164,586,464,395,390,401,374,318,337,355,457,595,406,279,182,159,136,92,6303
106A2,Tainan City,173,122,71,61,64,129,396,1637,1448,1059,1008,1187,1156,896,972,1077,1237,1663,1219,943,692,654,520,289,18673
106A2,Kaohsiung City,546,327,220,170,216,352,975,4016,3632,2962,2724,2944,2927,2372,2408,2740,3276,4112,3343,2518,1910,1722,1608,1010,49030
106A2,Pingtung County,133,76,47,50,64,115,283,894,828,781,768,831,767,610,632,724,859,1068,786,615,475,407,299,185,12297
